Reading Airport file from airports.txt
There were 5738 Airports with IATA code
Reading Routes file from routes.txt
There were 68292 Routes with IATA code
0.00566145351266 Chicago Ohare Intl, United States
0.00562186959923 Los Angeles Intl, United States
0.00537511880312 Denver Intl, United States
0.00445629862743 Heathrow, United Kingdom
0.00432234682946 Charles De Gaulle, France
0.00429249532688 Hartsfield Jackson Atlanta Intl, United States
0.00418055202052 Capital Intl, China
0.00414524863918 Frankfurt Main, Germany
0.00407544824776 Changi Intl, Singapore
0.00392685534168 Schiphol, Netherlands
0.00385955768748 John F Kennedy Intl, United States
0.00381981940219 Dallas Fort Worth Intl, United States
0.0037412091934 Sydney Intl, Australia
0.0036396774944 Domododevo, Russia
0.0036027670159 Lester B Pearson Intl, Canada
0.00355967802051 Dubai Intl, United Arab Emirates
0.00344276324298 Eldorado Intl, Colombia
0.00342035273924 Incheon Intl, South Korea
0.00336683861856 Ataturk, Turkey
0.00327082265865 Barcelona, Spain
0.00323821497795 Pudong, China
0.00308737131898 Hong Kong Intl, Hong Kong
0.00301618299627 Fiumicino, Italy
0.00298368753327 Miami Intl, United States
0.00292423426207 San Francisco Intl, United States
0.0028986872033 Suvarnabhumi Intl, Thailand
0.00286963788426 Gatwick, United Kingdom
0.00286162634837 George Bush Intercontinental, United States
0.00284350485828 Franz Josef Strauss, Germany
0.00283173402133 Barajas, Spain
0.00282627690588 Licenciado Benito Juarez Intl, Mexico
0.002807112686 Brisbane Intl, Australia
0.00275773579975 Charlotte Douglas Intl, United States
0.00275686196635 Seattle Tacoma Intl, United States
0.0027193591655 Kuala Lumpur Intl, Malaysia
0.00268999317036 Schwechat, Austria
0.00265018229498 Minneapolis St Paul Intl, United States
0.00264817295093 Pulkovo, Russia
0.002639684832 Narita Intl, Japan
0.00262652953711 Indira Gandhi Intl, India
0.00258913348036 Ninoy Aquino Intl, Philippines
0.00257284498507 Baiyun Intl, China
0.00251140027891 Mc Carran Intl, United States
0.00248712419832 Guarulhos Gov Andre Franco Montouro, Brazil
0.00245456432614 Son Sant Joan, Spain
0.00243975060784 Brussels Natl, Belgium
0.0024052126031 Newark Liberty Intl, United States
0.00239427226714 Manchester, United Kingdom
0.00238348895519 Phoenix Sky Harbor Intl, United States
0.00237799467093 Vancouver Intl, Canada
0.0023727271672 Dusseldorf, Germany
0.00236356290971 Johannesburg Intl, South Africa
0.00229419038155 Ted Stevens Anchorage Intl, United States
0.00228361942445 Abu Dhabi Intl, United Arab Emirates
0.00228180504097 Detroit Metro Wayne Co, United States
0.002249899969 Taoyuan Intl, Taiwan
0.00223679910302 Philadelphia Intl, United States
